"UP 2210"
"Version"	"1.64"	"1.62"
"Serialnumber:"	25003817
"Main comment"	"Measure 1"
"Start:"	"2008-07-01"	"15:45:00"
"End:"	"2008-07-04"	"13:31:17"
"Storage interval:"	"0:10:00"



"Channel/Method"	"Comment"	"Range"	"Min"	"Max"
"Pst1  [] Flicker Pst"	""	""	0,163000	2,541000
"Pst2  [] Flicker Pst"	""	""	0,153000	3,103000
"Pst3  [] Flicker Pst"	""	""	0,144000	4,028000




Date	Time	"Pst1  []"	"Pst2  []"	"Pst3  []"	
"2008-07-03"	"17:25:00"	0,61	0,3	0,348	
"2008-07-03"	"17:35:00"	0,403	0,313	0,295	
"2008-07-03"	"17:45:00"	0,552	0,46	0,459	
"2008-07-03"	"17:55:00"	0,509	0,473	0,41	
"2008-07-03"	"18:05:00"	0,434	0,431	0,432	
"2008-07-03"	"18:15:00"	0,325	0,299	0,365	
"2008-07-03"	"18:25:00"	0,202	0,167	0,17	
"2008-07-03"	"18:35:00"	0,544	3,103	4,028	
"2008-07-03"	"18:45:00"	0,259	0,25	0,249	
"2008-07-03"	"18:55:00"	0,219	0,207	0,21	
"2008-07-03"	"19:05:00"	0,19	0,166	0,165	
"2008-07-03"	"19:15:00"	0,322	0,299	0,206	
"2008-07-03"	"19:25:00"	0,19	0,168	0,173	
"2008-07-03"	"19:35:00"	0,202	0,159	0,176	
"2008-07-03"	"19:45:00"	0,268	0,239	0,251	
"2008-07-03"	"19:55:00"	0,186	0,163	0,19	
"2008-07-03"	"20:05:00"	0,175	0,156	0,158	
"2008-07-03"	"20:15:00"	0,193	0,182	0,187	
"2008-07-03"	"20:25:00"	0,244	0,21	0,226	
"2008-07-03"	"20:35:00"	0,175	0,168	0,144	
"2008-07-03"	"20:45:00"	0,191	0,165	0,147	
"2008-07-03"	"20:55:00"	0,305	0,306	0,289	
"2008-07-03"	"21:05:00"	0,228	0,245	0,237	
"2008-07-03"	"21:15:00"	0,209	0,209	0,185	
"2008-07-03"	"21:25:00"	0,221	0,221	0,203	
"2008-07-03"	"21:35:00"	0,207	0,194	0,178	
"2008-07-03"	"21:45:00"	0,336	0,237	0,271	
"2008-07-03"	"21:55:00"	0,261	0,264	0,247	
"2008-07-03"	"22:05:00"	0,194	0,186	0,189	
"2008-07-03"	"22:15:00"	0,204	0,206	0,198	
"2008-07-03"	"22:25:00"	0,287	0,263	0,231	
"2008-07-03"	"22:35:00"	0,211	0,214	0,202	
"2008-07-03"	"22:45:00"	0,195	0,205	0,188	
"2008-07-03"	"22:55:00"	0,218	0,223	0,184	
"2008-07-03"	"23:05:00"	0,223	0,207	0,203	
"2008-07-03"	"23:15:00"	0,311	0,322	0,303	
"2008-07-03"	"23:25:00"	0,191	0,188	0,177	
"2008-07-03"	"23:35:00"	0,188	0,182	0,177	
"2008-07-03"	"23:45:00"	0,209	0,209	0,194	
"2008-07-03"	"23:55:00"	0,211	0,221	0,202	
"2008-07-04"	"00:05:00"	0,238	0,241	0,224	
"2008-07-04"	"00:15:00"	0,183	0,175	0,167	
"2008-07-04"	"00:25:00"	0,276	0,285	0,274	
"2008-07-04"	"00:35:00"	0,272	0,288	0,272	
"2008-07-04"	"00:45:00"	0,227	0,229	0,22	
"2008-07-04"	"00:55:00"	0,258	0,28	0,256	
"2008-07-04"	"01:05:00"	0,199	0,192	0,183	
"2008-07-04"	"01:15:00"	0,305	0,295	0,297	
"2008-07-04"	"01:25:00"	0,255	0,263	0,25	
"2008-07-04"	"01:35:00"	0,223	0,228	0,22	
"2008-07-04"	"01:45:00"	0,299	0,332	0,292	
"2008-07-04"	"01:55:00"	0,227	0,226	0,214	
"2008-07-04"	"02:05:00"	0,212	0,228	0,211	
"2008-07-04"	"02:15:00"	0,509	0,325	0,564	
"2008-07-04"	"02:25:00"	0,238	0,247	0,234	
"2008-07-04"	"02:35:00"	0,168	0,159	0,156	
"2008-07-04"	"02:45:00"	0,558	0,418	0,459	
"2008-07-04"	"02:55:00"	0,63	0,461	0,513	
"2008-07-04"	"03:05:00"	0,601	0,537	0,611	
"2008-07-04"	"03:15:00"	0,707	0,64	0,707	
"2008-07-04"	"03:25:00"	0,527	0,455	0,481	
"2008-07-04"	"03:35:00"	0,448	0,45	0,445	
"2008-07-04"	"03:45:00"	0,446	0,391	0,458	
"2008-07-04"	"03:55:00"	0,389	0,334	0,376	
"2008-07-04"	"04:05:00"	0,364	0,338	0,327	
"2008-07-04"	"04:15:00"	0,487	0,435	0,386	
"2008-07-04"	"04:25:00"	0,428	0,372	0,321	
"2008-07-04"	"04:35:00"	0,511	0,384	0,42	
"2008-07-04"	"04:45:00"	0,659	0,515	0,578	
"2008-07-04"	"04:55:00"	0,46	0,413	0,479	
"2008-07-04"	"05:05:00"	0,345	0,288	0,309	
"2008-07-04"	"05:15:00"	0,334	0,288	0,33	
"2008-07-04"	"05:25:00"	0,405	0,357	0,436	
"2008-07-04"	"05:35:00"	0,457	0,382	0,4	
"2008-07-04"	"05:45:00"	0,437	0,351	0,33	
"2008-07-04"	"05:55:00"	0,687	0,625	0,739	
"2008-07-04"	"06:05:00"	0,505	0,45	0,445	
"2008-07-04"	"06:15:00"	0,443	0,428	0,433	
"2008-07-04"	"06:25:00"	0,404	0,333	0,342	
"2008-07-04"	"06:35:00"	0,465	0,404	0,403	
"2008-07-04"	"06:45:00"	0,34	0,324	0,31	
"2008-07-04"	"06:55:00"	0,458	0,395	0,391	
"2008-07-04"	"07:05:00"	0,481	0,428	0,418	
"2008-07-04"	"07:15:00"	0,482	0,425	0,398	
"2008-07-04"	"07:25:00"	0,599	0,545	0,641	
"2008-07-04"	"07:35:00"	0,48	0,361	0,312	
"2008-07-04"	"07:45:00"	0,302	0,274	0,33	
"2008-07-04"	"07:55:00"	0,239	0,225	0,245	
"2008-07-04"	"08:05:00"	0,18	0,168	0,256	
"2008-07-04"	"08:15:00"	0,329	0,325	0,303	
"2008-07-04"	"08:25:00"	0,239	0,228	0,214	
"2008-07-04"	"08:35:00"	0,489	0,419	0,378	
"2008-07-04"	"08:45:00"	0,489	0,54	0,375	
"2008-07-04"	"08:55:00"	0,511	0,427	0,366	
"2008-07-04"	"09:05:00"	0,567	0,448	0,518	
"2008-07-04"	"09:15:00"	0,642	0,441	0,555	
"2008-07-04"	"09:25:00"	0,414	0,439	0,433	
"2008-07-04"	"09:35:00"	0,317	0,253	0,297	
"2008-07-04"	"09:45:00"	0,509	0,486	0,484	
"2008-07-04"	"09:55:00"	0,467	0,481	0,444	
"2008-07-04"	"10:05:00"	0,422	0,37	0,376	
"2008-07-04"	"10:15:00"	0,47	0,444	0,438	
"2008-07-04"	"10:25:00"	0,613	0,521	0,543	
"2008-07-04"	"10:35:00"	0,432	0,421	0,443	
"2008-07-04"	"10:45:00"	0,415	0,417	0,399	
"2008-07-04"	"10:55:00"	0,42	0,376	0,373	
"2008-07-04"	"11:05:00"	0,391	0,29	0,353	
"2008-07-04"	"11:15:00"	0,395	0,391	0,379	
"2008-07-04"	"11:25:00"	0,491	0,464	0,472	
"2008-07-04"	"11:35:00"	2,428	2,658	2,486	
"2008-07-04"	"11:45:00"	2,541	2,464	2,421	
"2008-07-04"	"11:55:00"	0,423	0,404	0,441	
"2008-07-04"	"12:05:00"	0,368	0,385	0,368	
"2008-07-04"	"12:15:00"	0,818	0,808	0,735	
"2008-07-04"	"12:25:00"	0,464	0,435	0,438	
